Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time
2025-01-20,Incline Bench Press,Chest,115.0,lbs,7,,,
2025-01-20,Incline Bench Press,Chest,115.0,lbs,7,,,
2025-01-20,Incline Bench Press,Chest,115.0,lbs,7,,,
2025-01-20,Hammer Strength Incline Press,Chest,45.0,lbs,13,,,
2025-01-20,Hammer Strength Incline Press,Chest,45.0,lbs,13,,,
2025-01-20,Hammer Strength Incline Press,Chest,45.0,lbs,13,,,
2025-01-20,Hammer Strength Triceps Extension,Triceps,65.0,lbs,13,,,
2025-01-20,Hammer Strength Triceps Extension,Triceps,80.0,lbs,10,,,
2025-01-20,Hammer Strength Triceps Extension,Triceps,80.0,lbs,10,,,
2025-01-21,Hammer Strength Plate Lying Leg Curl,Legs,25.0,lbs,8,,,
2025-01-21,Hammer Strength Plate Lying Leg Curl,Legs,25.0,lbs,8,,,
2025-01-21,Hammer Strength Plate Lying Leg Curl,Legs,25.0,lbs,8,,,
2025-01-21,Matrix Leg Press,Legs,90.0,lbs,10,,,
2025-01-21,Matrix Leg Press,Legs,90.0,lbs,10,,,
2025-01-21,Matrix Leg Press,Legs,90.0,lbs,10,,,
2025-01-21,Hammer Strength Leg Extension,Legs,85.0,lbs,10,,,
2025-01-21,Hammer Strength Leg Extension,Legs,85.0,lbs,10,,,
2025-01-22,Nautilus Cable Lat Pulldown,Back,99.0,lbs,11,,,
2025-01-22,Nautilus Cable Lat Pulldown,Back,99.0,lbs,11,,,
2025-01-22,Nautilus Cable Lat Pulldown,Back,88.0,lbs,14,,,
2025-01-22,Nautilus Cable Lat Pulldown,Back,88.0,lbs,12,,,
2025-01-22,Seated High Cable Row,Back,77.0,lbs,12,,,
2025-01-22,Seated High Cable Row,Back,88.0,lbs,13,,,
2025-01-22,Seated High Cable Row,Back,88.0,lbs,14,,,
2025-01-22,Hammer Strength Iso Lateral Low Row,Back,70.0,lbs,8,,,
2025-01-22,Hammer Strength Iso Lateral Low Row,Back,70.0,lbs,8,,,
2025-01-23,Incline Bench Press,Chest,115.0,lbs,10,,,
2025-01-23,Incline Bench Press,Chest,115.0,lbs,9,,,
